User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
1002903,Isabella,P00125942,F,26-35,28,0,Indiana,Western,Healthcare,Auto,1,287.42,,
1000732,Victoria,P00110942,F,26-35,35,1,Montana,Southern,Govt,Auto,3,287.21,,
1001990,Alexander,P00118542,F,26-35,35,1,Georgia,Central,Automobile,Auto,3,287.09,,
1001425,Amelia,P00237842,M,0-17,16,0,South Dakota,Southern,Construction,Auto,2,286.94,,
1000588,Mason,P00057942,M,26-35,28,1,Missouri,Western,Food Processing,Auto,2,286.52,,
1000588,Liam,P00057942,M,26-35,28,1,Georgia,Northern,Food Processing,Auto,1,286.52,,
1001132,Alexander,P00018042,F,18-25,25,1,South Carolina,Central,Lawyer,Auto,4,286.09,,
1002092,Samantha,P00273442,F,55+,61,0,South Carolina,Western,IT Sector,Auto,1,,,
1003224,Emily,P00205642,M,26-35,35,0,Massachusetts,Central,Govt,Auto,2,285.71,,
1003650,Ava,P00031142,F,26-35,26,1,Oregon,Southern,Media,Auto,4,285.6,,
1003829,Henry,P00200842,M,26-35,34,0,Maryland,Central,Banking,Auto,1,285.24,,
1000214,Megan,P00119142,F,18-25,20,0,Rhode Island,Southern,Retail,Auto,2,285.02,,
1004035,Victoria,P00080342,F,18-25,20,1,Florida,Southern,IT Sector,Auto,2,284.76,,
1001680,David,P00324942,M,26-35,26,1,Michigan,Southern,Automobile,Auto,4,284.62,,
1003858,Grace,P00293742,M,46-50,46,1,Vermont,Central,Hospitality,Auto,3,,,
1000813,Sarah,P00289942,F,18-25,24,0,Rhode Island,Southern,Govt,Auto,2,283.97,,
1005447,Ava,P00275642,F,46-50,48,1,Alabama,Southern,IT Sector,Auto,3,,,
1001193,Daniel,P00004842,F,26-35,29,0,Oklahoma,Southern,Aviation,Auto,1,283.43,,
1001883,Sophia,P00029842,M,51-55,54,1,Vermont,Central,Hospitality,Auto,1,282.82,,
1001883,Liam,P00029842,M,51-55,54,1,Wisconsin,Central,Hospitality,Auto,1,282.82,,
1000113,David,P00180642,F,18-25,19,1,Wyoming,Southern,Govt,Auto,4,282.55,,
1000416,Olivia,P00181842,F,46-50,46,1,Vermont,Central,Banking,Auto,2,282.3,,
1005256,Christopher,P00101742,F,26-35,30,0,Utah,Southern,IT Sector,Auto,1,282.22,,
1001505,David,P00271842,F,51-55,53,0,Mississippi,Central,Automobile,Auto,2,282.18,,
1000900,Benjamin,P00317842,M,55+,83,0,Washington,Southern,Automobile,Auto,3,282.16,,
1005908,Joshua,P00282642,F,26-35,33,0,Idaho,Southern,IT Sector,Auto,3,281.54,,
1001101,Emily,P00234742,F,36-45,40,0,Ohio,Central,Banking,Auto,3,281.47,,
1004736,Christopher,P00058042,F,18-25,25,1,Illinois,Southern,Banking,Auto,4,281.41,,
1004037,David,P00190542,M,51-55,54,1,Colorado,Southern,Govt,Hand & Power Tools,2,281.21,,
1002340,Megan,P00119642,F,36-45,39,1,Mississippi,Southern,Aviation,Auto,3,280.67,,
1005664,John,P00111642,F,18-25,20,0,Pennsylvania,Southern,Aviation,Auto,2,280.38,,
1002523,Jessica,P00293342,F,26-35,32,1,Louisiana,Southern,Food Processing,Auto,3,279.91,,
1002503,Sophia,P00220042,F,36-45,36,0,Mississippi,Southern,Automobile,Auto,2,279.77,,
1002638,Ava,P00346242,F,26-35,35,1,Alaska,Western,Media,Auto,2,279.67,,
1004505,Grace,P00080042,F,51-55,55,1,Indiana,Southern,Healthcare,Auto,4,279.62,,
1004957,Amelia,P00111842,M,26-35,27,1,Nebraska,Eastern,Govt,Auto,1,279.42,,
1005649,Samuel,P00238542,M,18-25,20,1,Massachusetts,Central,Media,Auto,1,279.37,,
1004508,Daniel,P00048742,F,26-35,32,0,California,Southern,Aviation,Auto,1,279.24,,
1002520,Jessica,P00310342,M,55+,72,1,Nevada,Northern,Media,Auto,4,279.2,,
1003111,Amelia,P00249542,F,18-25,25,1,Indiana,Southern,Banking,Auto,4,279.02,,
1000687,Grace,P00156442,M,26-35,35,0,Virginia,Southern,Aviation,Auto,1,278.96,,
1003267,William,P00144242,M,26-35,30,1,Delaware,Central,Banking,Hand & Power Tools,2,278.95,,
1001182,Sarah,P00122442,M,0-17,16,0,Mississippi,Southern,Food Processing,Auto,4,278.87,,
1005383,James,P0096942,F,36-45,40,0,Massachusetts,Southern,Aviation,Auto,2,278.41,,
1004303,Charlotte,P00201442,F,26-35,35,1,Idaho,Southern,Aviation,Auto,2,278.22,,
1005493,Madison,P00036242,M,36-45,45,1,Tennessee,Southern,Agriculture,Hand & Power Tools,3,277.92,,
1000728,Benjamin,P00113942,F,26-35,28,0,Nebraska,Southern,Banking,Auto,1,277.85,,
1002966,John,P00121642,M,26-35,32,1,South Carolina,Central,Construction,Auto,3,277.24,,
1001726,Grace,P00105042,F,26-35,32,0,West Virginia,Southern,Retail,Auto,4,276.79,,
1001404,Benjamin,P00141842,F,51-55,53,0,Ohio,Southern,IT Sector,Auto,2,276.64,,
1005267,Victoria,P00115342,F,36-45,43,1,Texas,Southern,IT Sector,Auto,3,276.56,,
1003745,Benjamin,P00220042,M,26-35,29,0,California,Northern,IT Sector,Stationery,2,258.76,,
1001884,William,P00339042,F,46-50,47,0,Ohio,Central,Textile,Stationery,1,258.56,,
1001804,Daniel,P00000642,F,26-35,35,0,Alabama,Central,Lawyer,Stationery,1,258.4,,
1005359,Daniel,P00302742,F,18-25,22,1,Iowa,Central,Media,Stationery,1,258.04,,
1000151,Benjamin,P00150342,M,26-35,34,1,Minnesota,Southern,IT Sector,Stationery,2,257.94,,
1001389,James,P00261542,F,26-35,33,1,Pennsylvania,Central,Agriculture,Stationery,3,257.56,,
1002665,Sophia,P00261842,F,36-45,36,0,Virginia,Central,IT Sector,Stationery,4,257.12,,
1002496,Sophia,P00114042,F,51-55,52,0,Vermont,Central,IT Sector,Stationery,4,257.08,,
1001442,Emily,P00145042,M,18-25,18,1,Connecticut,Central,Construction,Stationery,2,256.81,,
1000379,Mason,P00121642,M,36-45,39,0,Indiana,Western,Healthcare,Stationery,3,256.76,,
1003916,Amelia,P00003242,M,26-35,34,1,Colorado,Central,Agriculture,Stationery,4,256.66,,
1001687,Megan,P00265242,F,26-35,33,0,Colorado,Western,Govt,Stationery,4,255.9,,
1000423,Daniel,P00046742,M,18-25,21,0,Iowa,Central,Automobile,Stationery,2,255.84,,
1002395,James,P00220342,F,36-45,38,1,Hawaii,Central,Aviation,Stationery,2,255.8,,
1004728,Henry,P00037042,F,26-35,28,0,Illinois,Central,IT Sector,Stationery,4,255.52,,
1005054,Amelia,P0096542,F,36-45,37,0,Iowa,Central,Hospitality,Stationery,1,255.19,,
1004489,William,P00216742,M,18-25,20,0,Missouri,Central,Construction,Stationery,1,255.11,,
1001865,Benjamin,P00213742,M,18-25,23,1,North Dakota,Southern,Media,Stationery,2,254.95,,
1003022,Olivia,P00130742,F,26-35,34,0,Kansas,Central,Banking,Stationery,4,254.62,,
